Experiments,r1,r2,r3,r4,r5,r6,r7,x1,x2,p
Exp_132,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.28947368421052627,-0.15789473684210525,0.0
Exp_133,0.0,0.0,0.0,0.0,0.1,0.1,0.1,-2.7755575615628914e-17,0.3421052631578947,0.0
Exp_134,0.0,0.0,0.0,0.0,0.1,0.1,0.1,-0.026315789473684237,0.47368421052631576,0.0
Exp_135,0.0,0.0,0.0,0.0,0.1,0.1,0.1,-0.39473684210526316,0.05263157894736842,0.0
Exp_136,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.34210526315789475,0.15789473684210525,0.0
Exp_137,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0789473684210526,0.15789473684210525,0.0
Exp_138,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.13157894736842105,-0.15789473684210528,0.0
Exp_139,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.02631578947368418,-0.21052631578947367,0.0
Exp_140,0.0,0.0,0.0,0.1,0.0,0.0,0.0,-0.39473684210526316,0.0,0.0
Exp_141,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.21052631578947367,-0.1842105263157895,0.0
Exp_142,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.18421052631578946,-0.3157894736842105,0.0
Exp_143,0.0,0.0,0.0,0.1,0.0,0.0,0.0,-0.07894736842105263,-0.15789473684210528,0.0
Exp_144,0.0,0.0,0.0,0.1,0.0,0.0,0.0,-0.368421052631579,-0.13157894736842105,0.0
Exp_145,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.18421052631578946,0.2105263157894737,0.0
Exp_146,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.02631578947368418,-0.10526315789473684,0.0
Exp_147,0.0,0.0,0.0,0.1,0.0,0.0,0.0,-0.13157894736842107,-0.15789473684210525,0.0
Exp_148,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.05263157894736842,0.2368421052631579,0.0
Exp_149,0.0,0.0,0.0,0.1,0.0,0.0,0.0,-0.2894736842105263,-0.15789473684210525,0.0
